time,latitude,longitude,chl
2024-04-24,25.0,-80.0,0.185478
2024-04-24,25.0,-79.75,0.208268
2024-04-24,25.0,-79.5,0.189186
2024-04-24,25.0,-79.25,0.130906
2024-04-24,25.0,-79.0,0.135898
2024-04-24,25.0,-78.75,0.139372
2024-04-24,25.0,-78.5,0.157463
2024-04-24,25.0,-78.25,0.15455
2024-04-24,25.0,-78.0,
2024-04-24,25.0,-77.75,0.093207
2024-04-24,25.0,-77.5,0.092324
2024-04-24,25.0,-77.25,0.094206
2024-04-24,25.0,-77.0,0.097816
2024-04-24,25.0,-76.75,0.08843
2024-04-24,25.0,-76.5,0.090639
2024-04-24,25.0,-76.25,0.090868
2024-04-24,25.0,-76.0,0.082854
2024-04-24,25.0,-75.75,0.08145
2024-04-24,25.0,-75.5,0.078751
2024-04-24,25.0,-75.25,0.077583
2024-04-24,25.0,-75.0,0.077335
2024-04-24,25.0,-74.75,0.077936
2024-04-24,25.0,-74.5,0.079997
2024-04-24,25.0,-74.25,0.081643
2024-04-24,25.0,-74.0,0.081787
2024-04-24,25.0,-73.75,0.081281
2024-04-24,25.0,-73.5,0.078679
2024-04-24,25.0,-73.25,0.075486
2024-04-24,25.0,-73.0,0.070958
2024-04-24,25.0,-72.75,0.065726
2024-04-24,25.0,-72.5,0.06392
2024-04-24,25.0,-72.25,0.064118
2024-04-24,25.0,-72.0,0.064313
2024-04-24,25.0,-71.75,0.063801
2024-04-24,25.0,-71.5,0.063267
2024-04-24,25.0,-71.25,0.06314
2024-04-24,25.0,-71.0,0.064357
2024-04-24,25.0,-70.75,0.065517
2024-04-24,25.0,-70.5,0.064493
2024-04-24,25.0,-70.25,0.064762
2024-04-24,25.0,-70.0,0.065158
2024-04-24,25.0,-69.75,0.065146
2024-04-24,25.0,-69.5,0.063895
2024-04-24,25.0,-69.25,0.06194
2024-04-24,25.0,-69.0,0.061014
2024-04-24,25.0,-68.75,0.06143
2024-04-24,25.0,-68.5,0.062429
2024-04-24,25.0,-68.25,0.063404
2024-04-24,25.0,-68.0,0.063815
2024-04-24,25.0,-67.75,0.064332
2024-04-24,25.0,-67.5,0.064987
2024-04-24,25.0,-67.25,0.065658
2024-04-24,25.0,-67.0,0.065947
2024-04-24,25.0,-66.75,0.065784
2024-04-24,25.0,-66.5,0.065883
2024-04-24,25.0,-66.25,0.066421
2024-04-24,25.0,-66.0,0.066443
2024-04-24,25.0,-65.75,0.06529
2024-04-24,25.0,-65.5,0.064618
2024-04-24,25.0,-65.25,0.06425
2024-04-24,25.0,-65.0,0.064756
2024-04-24,25.0,-64.75,0.064097
2024-04-24,25.0,-64.5,0.060184
2024-04-24,25.0,-64.25,0.059623
2024-04-24,25.0,-64.0,0.061283
2024-04-24,25.0,-63.75,0.061694
2024-04-24,25.0,-63.5,0.061701
2024-04-24,25.0,-63.25,0.064891
2024-04-24,25.0,-63.0,0.067817
2024-04-24,25.0,-62.75,0.068652
2024-04-24,25.0,-62.5,0.072479
2024-04-24,25.0,-62.25,0.081614
2024-04-24,25.0,-62.0,0.075946
2024-04-24,25.0,-61.75,0.061001
2024-04-24,25.0,-61.5,0.059012
2024-04-24,25.0,-61.25,0.061354
2024-04-24,25.0,-61.0,0.063615
2024-04-24,25.0,-60.75,0.061073
2024-04-24,25.0,-60.5,0.055462
2024-04-24,25.0,-60.25,0.052835
2024-04-24,25.0,-60.0,0.05482
2024-04-24,25.0,-59.75,0.053929
2024-04-24,25.0,-59.5,0.053052
2024-04-24,25.0,-59.25,0.052078
2024-04-24,25.0,-59.0,0.054275
2024-04-24,25.0,-58.75,0.060051
2024-04-24,25.0,-58.5,0.063219
2024-04-24,25.0,-58.25,0.063982
2024-04-24,25.0,-58.0,0.065706
2024-04-24,25.0,-57.75,0.065178
2024-04-24,25.0,-57.5,0.063158
2024-04-24,25.0,-57.25,0.059425
2024-04-24,25.0,-57.0,0.055283
2024-04-24,25.0,-56.75,0.053296
2024-04-24,25.0,-56.5,0.052106
2024-04-24,25.0,-56.25,0.051574
